scenario_id,correct_diagnosis_reference,num_distinct_codes,entropy_bits,normalized_entropy,mode_icd10_code,mode_icd10_label,mode_prob,total_runs
0,Myasthenia gravis,1,0.0,0.0,G7000,Myasthenia gravis without (acute) exacerbation,1.0,10
1,Progressive multifocal encephalopathy (PML),2,0.468996,0.468996,A812,Progressive multifocal leukoencephalopathy,0.9,10
2,Hirschsprung disease,6,2.446439,0.946412,Q431,Hirschsprung's disease,0.3,10
3,Diffuse large B-cell lymphoma,4,1.721928,0.860964,C8190,"Hodgkin lymphoma, unspecified, unspecified site",0.4,10
4,Acute interstitial nephritis,2,1.0,1.0,N10,Acute pyelonephritis,0.5,10
5,Pes anserine bursitis,5,1.960964,0.844541,M7026,Pes anserine bursitis,0.5,10
6,Situational syncope,2,0.468996,0.468996,R55,Syncope and collapse,0.9,10
7,Congenital Rubella Infection,1,0.0,0.0,P350,Congenital rubella syndrome,1.0,10
8,Phyllodes tumor,4,1.721928,0.860964,D4861,Neoplasm of uncertain behavior of right breast,0.4,10
9,Endometritis,2,0.468996,0.468996,O8681,Puerperal septic thrombophlebitis,0.9,10
10,Hemorrhoids,5,1.960964,0.844541,K641,Second degree hemorrhoids,0.5,10
11,Complex partial seizure,1,0.0,0.0,G40209,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus",1.0,10
12,Posterior hip dislocation,4,1.35678,0.67839,S73014A,"Posterior dislocation of right hip, initial encounter",0.7,10
13,Hirschsprung’s disease,1,0.0,0.0,Q431,Hirschsprung's disease,1.0,10
14,Rupture of the flexor digitorum profundus tendon at its point of insertion,6,2.521928,0.975615,S66196A,"Other injury of flexor muscle, fascia and tendon of right little finger at wrist and hand level, initial encounter",0.2,10
15,Epidermoid cyst,6,2.370951,0.917209,L7211,Pilar cyst,0.3,10
16,C. difficile colitis,3,1.15678,0.729847,K5289,Other specified noninfective gastroenteritis and colitis,0.7,10
17,Pyoderma gangrenosum,3,0.921928,0.581672,L88,Pyoderma gangrenosum,0.8,10
18,Uterine rupture,2,0.721928,0.721928,O7101,Rupture of uterus before onset of labor,0.8,10
19,Disc herniation,3,1.295462,0.817345,M5117,"Intervertebral disc disorders with radiculopathy, lumbosacral region",0.6,10
